datetime,temp,feelslike,conditions,libur,daya_listrik
2023-01-01,25.9,26.9,"Rain, Partially cloudy",1,1.76459
2023-01-02,25.9,27,"Rain, Partially cloudy",0,1.20568
2023-01-03,26.1,27,"Rain, Partially cloudy",0,1.12345
2023-01-04,25.9,27.3,"Rain, Partially cloudy",0,1.03574
2023-01-05,26.1,27.5,Partially cloudy,0,0.89243
2023-01-06,26.5,27.5,"Rain, Partially cloudy",0,1.20146
2023-01-07,25.5,26.1,"Rain, Partially cloudy",0,0.95032
2023-01-08,25.8,26.7,"Rain, Partially cloudy",1,1.83052
2023-01-09,25.8,26.6,Partially cloudy,0,1.05739
2023-01-10,25.5,26.2,Partially cloudy,0,0.96812
2023-01-11,24.9,25.3,Partially cloudy,0,0.82481
2023-01-12,26.2,27.3,"Rain, Partially cloudy",0,1.45233
2023-01-13,26,27.2,"Rain, Partially cloudy",0,1.30007
2023-01-14,26,27,"Rain, Partially cloudy",0,1.22993
2023-01-15,26.5,27.6,"Rain, Partially cloudy",1,1.90281
2023-01-16,26.1,27.2,"Rain, Partially cloudy",0,1.23158
2023-01-17,25.6,26.1,Partially cloudy,0,0.89943
2023-01-18,24.9,25.5,Partially cloudy,0,0.77626
2023-01-19,26,27.2,"Rain, Partially cloudy",0,1.26902
2023-01-20,26.1,27,"Rain, Partially cloudy",0,1.33169
2023-01-21,22.9,22.9,"Rain, Overcast",0,1.08107
2023-01-22,25.3,26.4,"Rain, Partially cloudy",1,1.60835
2023-01-23,24.8,25.2,"Rain, Partially cloudy",1,1.49027
2023-01-24,24.9,25.2,"Rain, Overcast",0,0.99874
2023-01-25,25.9,26.7,"Rain, Partially cloudy",0,1.13599
2023-01-26,25.2,25.8,"Rain, Partially cloudy",0,1.02345
2023-01-27,25.4,25.8,"Rain, Partially cloudy",0,1.02831
2023-01-28,26,26.9,"Rain, Partially cloudy",0,1.30172
2023-01-29,26,27.3,"Rain, Overcast",1,1.76494
2023-01-30,26.4,27.8,"Rain, Partially cloudy",0,1.12768
2023-01-31,25.3,25.5,"Rain, Overcast",0,1.63942
2023-02-01,26.1,27.2,"Rain, Partially cloudy",0,1.94327
2023-02-02,26.4,27.5,"Rain, Partially cloudy",0,1.89354
2023-02-03,26.5,27.8,"Rain, Partially cloudy",0,1.81592
2023-02-04,25.3,25.8,"Rain, Partially cloudy",0,1.76973
2023-02-05,26,27,"Rain, Partially cloudy",1,2.09412
2023-02-06,26.1,27,"Rain, Partially cloudy",0,1.80123
2023-02-07,26.2,27.4,"Rain, Partially cloudy",0,1.86179
2023-02-08,26.2,27.4,"Rain, Overcast",0,1.92481
2023-02-09,26.4,27.8,"Rain, Partially cloudy",0,1.85247
2023-02-10,25.6,26.4,"Rain, Partially cloudy",0,1.72469
2023-02-11,26,27.3,"Rain, Partially cloudy",0,1.89523
2023-02-12,26.6,28.2,"Rain, Partially cloudy",1,2.14159
2023-02-13,26.5,27.9,"Rain, Partially cloudy",0,1.93248
2023-02-14,26.8,28.2,"Rain, Partially cloudy",0,1.84352
2023-02-15,26.8,28.1,"Rain, Partially cloudy",0,1.82109
2023-02-16,26.8,28.3,"Rain, Partially cloudy",0,1.86735
2023-02-17,26.3,27.3,"Rain, Partially cloudy",0,1.81764
2023-02-18,26.5,27.7,"Rain, Partially cloudy",1,2.05532
2023-02-19,26.8,28.3,"Rain, Partially cloudy",1,2.01295
2023-02-20,26.6,28.1,"Rain, Partially cloudy",0,1.86654
2023-02-21,26.6,28.1,"Rain, Partially cloudy",0,1.84829
2023-02-22,26.8,28.3,"Rain, Partially cloudy",1,2.04387
2023-02-23,26.8,28.7,"Rain, Partially cloudy",0,2.11035
2023-02-24,26.4,27.8,Partially cloudy,0,1.85948
2023-02-25,26.5,27.8,Partially cloudy,0,1.84132
2023-02-26,26.1,27,"Rain, Partially cloudy",1,1.97064
2023-02-27,26.8,28,"Rain, Partially cloudy",0,1.90875
2023-02-28,26.5,27.7,"Rain, Partially cloudy",0,1.83792
2023-03-01,26.2,27.2,"Rain, Overcast",0,1.94689
2023-03-02,27.3,29,"Rain, Partially cloudy",0,1.98247
2023-03-03,26.2,26.6,"Rain, Overcast",0,1.89456
2023-03-04,26.8,27.8,"Rain, Partially cloudy",0,1.94563
2023-03-05,26.9,28.1,Partially cloudy,1,1.84291
2023-03-06,26.6,27.4,Clear,0,1.76932
2023-03-07,26.4,27.4,"Rain, Partially cloudy",0,1.94123
2023-03-08,27.1,28.5,Partially cloudy,0,1.87654
